list-none-none,1,10,1,30,63560,2118
list-none-none,1,100,1,300,129484,431
list-none-none,1,1000,1,3000,3684616,1228
list-none-none,1,10000,1,30000,615925902,20530
list-none-none,1,20000,1,60000,-1024983854,54499
list-i-m,12,32,1,1152,2158735,1873
list-d-m,12,32,1,1152,2005262,1740
list-il-m,12,32,1,1152,14545191,12626
list-dl-m,12,32,1,1152,9918380,8609
list-i-s,12,32,1,1152,2568925,2229
list-d-s,12,32,1,1152,2290747,1988
list-il-s,12,32,1,1152,12059089,10467
list-dl-s,12,32,1,1152,17375306,15082
list-none-none,1,1000,1,3000,3521067,1173
list-none-m,1,1000,1,3000,3548114,1182
list-none-m,2,1000,1,6000,17746690,2957
list-none-m,4,1000,1,12000,78232872,6519
list-none-m,8,1000,1,24000,387176594,16132
list-none-m,12,1000,1,36000,881079177,24474
list-none-m,16,1000,1,48000,1338734487,27890
list-none-m,24,1000,1,72000,-514561519,52505
list-none-s,1,1000,1,3000,6604375,2201
list-none-s,2,1000,1,6000,26296625,4382
list-none-s,4,1000,1,12000,128728178,10727
list-none-none,1,10,1,30,14496779,483225
list-none-none,1,100,1,300,10836155,36120
list-none-none,1,1000,1,3000,18806845,6268
list-none-none,1,10000,1,30000,972468360,32415
list-none-none,1,20000,1,60000,774075022,84484
list-i-m,12,32,1,1152,196517784,170588
list-d-m,12,32,1,1152,128978076,111960
list-il-m,12,32,1,1152,182306022,158251
list-dl-m,12,32,1,1152,167753401,145619
list-i-s,12,32,1,1152,-1068604525,2800662
list-none-none,1,10,1,30,141376,4712
list-none-none,1,100,1,300,227943,759
list-none-none,1,1000,1,3000,6274057,2091
list-none-none,1,10000,1,30000,814710974,27157
list-none-none,1,20000,1,60000,-193892680,68351
list-i-m,12,32,1,1152,1352261,1173
list-d-m,12,32,1,1152,1386744,1203
list-il-m,12,32,1,1152,78486506,68130
list-dl-m,12,32,1,1152,13628430,11830
list-i-s,12,32,1,1152,5131391,4454
list-d-s,12,32,1,1152,5161294,4480
list-il-s,12,32,1,1152,106292919,92268
list-dl-s,12,32,1,1152,80090278,69522
list-none-none,1,1000,1,3000,4992656,1664
list-none-m,1,1000,1,3000,8146575,2715
list-none-m,2,1000,1,6000,14244030,2374
list-none-m,4,1000,1,12000,146726527,12227
list-none-m,8,1000,1,24000,377612740,15733
list-none-m,12,1000,1,36000,710838693,19745
list-none-m,16,1000,1,48000,1180314441,24589
list-none-m,24,1000,1,72000,-1321910362,41292
list-none-s,1,1000,1,3000,3687843,1229
list-none-s,2,1000,1,6000,20174630,3362
list-none-s,4,1000,1,12000,235006365,19583
list-none-s,8,1000,1,24000,773465788,32227
list-none-s,12,1000,1,36000,-1816266359,68852
list-none-none,1,10,1,30,19021732,634057
list-none-none,1,100,1,300,22034183,73447
list-none-none,1,1000,1,3000,18695231,6231
list-none-none,1,10000,1,30000,927666757,30922
list-none-none,1,20000,1,60000,640149065,82251
list-i-m,12,32,1,1152,159582787,138526
list-d-m,12,32,1,1152,150291999,130461
list-il-m,12,32,1,1152,187353808,162633
list-dl-m,12,32,1,1152,170191800,147735
list-i-s,12,32,1,1152,1113221298,966337
list-d-s,12,32,1,1152,184981496,160574
list-il-s,12,32,1,1152,-1663537995,2284226
list-dl-s,12,32,1,1152,628223121,545332
list-none-none,1,1000,1,3000,4985389,1661
list-none-m,1,1000,1,3000,8618823,2872
list-none-m,2,1000,1,6000,19404163,3234
list-none-m,4,1000,1,12000,61484998,5123
list-none-m,8,1000,1,24000,144921557,6038
list-none-m,12,1000,1,36000,481104307,13364
list-none-m,16,1000,1,48000,495040243,10313
list-none-m,24,1000,1,72000,-1748361182,35369
list-none-s,1,1000,1,3000,6871933,2290
list-none-s,2,1000,1,6000,26924465,4487
list-none-s,4,1000,1,12000,135455528,11287
list-none-s,8,1000,1,24000,839281481,34970
list-none-s,12,1000,1,36000,2039217105,56644
